Order_ID,Customer_ID,age,Driver_ID,Restaurant_ID,Restaurant_Name,Restaurant_Branch,City,Order_Date,food_type,Order_Value,Delivery_Fee,Discount,Final_Amount,Payment_mode,Segment,Rating,Category
O1,C816,39,D1000,R19,McDonalds,"Mumbai B2",Mumbai,2023-06-05,Non-Veg,914,39,98,855,UPI,Regular,4.8,"Fast Food"
O2,C1559,60,D508,R331,"Biryani House","Bangalore B7",Bangalore,2023-11-16,Veg,781,31,126,686,UPI,Premium,4,"Casual Dining"
O3,C1406,37,D847,R137,McDonalds,"Mumbai B9",Mumbai,2023-05-18,Non-Veg,895,47,129,813,UPI,Premium,4.4,"Casual Dining"
O4,C1611,36,D886,R69,"Pizza Hut","Bangalore B6",Bangalore,2024-03-31,Veg,755,47,111,691,Cash,Premium,4.6,Cafe
O5,C1221,42,D171,R200,McDonalds,"Pune B10",Pune,2023-10-30,Non-Veg,615,44,42,617,UPI,Regular,3.8,Cafe
O6,C999,54,D206,R376,"Biryani House","Bangalore B4",Bangalore,2024-01-05,Non-Veg,404,51,5,450,Cash,Regular,3.1,"Casual Dining"
O7,C1870,33,D883,R228,McDonalds,"Delhi B6",Delhi,2023-12-05,Non-Veg,205,41,71,175,UPI,Occasional,3.9,Cafe
O8,C1091,40,D446,R270,KFC,"Delhi B2",Delhi,2023-10-19,Non-Veg,405,47,64,388,UPI,Premium,4.2,Cafe
O9,C358,32,D184,R207,"Biryani House","Hyderabad B1",Hyderabad,2024-09-05,Non-Veg,792,38,90,740,Cash,Regular,4.8,"Fast Food"
O10,C365,30,D280,R271,McDonalds,"Bangalore B2",Bangalore,2024-01-08,Veg,377,34,106,305,UPI,Occasional,3.5,"Fast Food"
O11,C568,18,D157,R215,Dominos,"Hyderabad B10",Hyderabad,2024-06-25,Veg,284,40,40,284,UPI,Occasional,3.3,"Fast Food"
O12,C1437,49,D350,R323,"Pizza Hut","Bangalore B3",Bangalore,2023-06-09,Veg,938,35,41,932,UPI,Occasional,4.1,"Casual Dining"
